lipid_id,lipids,160_Plasma,163_Plasma,167_Plasma,168_Plasma,158_Plasma,161_Plasma,162_Plasma,164_Plasma,170_Plasma
9737_p,PC O-34:2|PC O-16:1_18:1,345440096,511597984,551071424,459115744,240869632,342913792,513106272,465003040,361284480
9738_p,PC O-34:2|PC O-16:0_18:2,219532688,306536064,330253952,292996512,241028352,271703392,310584704,277470432,259395360
9745_p,SM 37:1;O2|SM 18:1;O2/19:0,102625112,141460528,150413216,134010240,114741008,123369136,144264784,127189528,122670000
9748_p,PE 36:1|PE 18:0_18:1,35367796,46839008,43808752,54075256,88712808,63771224,64761944,29694606,60892648
9749_p,PC 33:1|PC 16:0_17:1,197175120,254455440,267803008,254105344,257783280,261025616,247375840,142686224,270397056
9751_p,PC O-34:1|PC O-18:1_16:0,539610432,725499968,680845504,713619776,516722336,630217216,676381440,665447360,610885888
9759_p,PE P-38:6|PE P-16:0_22:6,116757264,185679248,208660112,173085936,119795960,153146832,141366512,135423248,115184304
9761_p,PC 33:0|PC 16:0_17:0,1468678.5,2599671.5,3099609.75,5027006.5,2828476.75,2523129.25,3774846,1703378.5,1308857.5
9763_p,PC 33:0,38735124,60105276,44928024,54047256,30694704,46143268,40987236,48097732,30284390
9764_p,PC O-34:0|PC O-18:0_16:0,31963368,46602560,43243648,48013168,34357596,39707368,44434560,39964480,44374192
9781_p,PE P-38:5|PE P-16:0_22:5,96797264,157798896,203186960,142417184,94302112,130075784,158627568,139873792,106004672
9782_p,PE P-38:5|PE P-18:1_20:4,93618368,153413008,176982832,141857040,89747288,129012768,152737824,140807376,100313424
9784_p,PC O-35:6,5066844.5,3535231.25,3857268.5,5632582.5,4470523,3197182,2473526.5,2935158.75,3432524.25
9785_p,PC O-35:6|PC O-16:2_19:4,1919438.75,1856647.375,2765372.5,2811853.75,2908773.5,2528244.5,2176699.5,1560953.5,1924770.375
9795_p,PC 32:2,4896144,8109082.5,7744182.5,9302030,7251389.5,6124363,6687691.5,2799751,5611857.5
9796_p,PE P-38:4|PE P-18:0_20:4,116205032,167999728,183404208,201299168,149141824,134304528,145564336,150606832,161920928
9797_p,PC O-35:5,1562517.125,2184801,1491142.125,1049596.875,799359.5,865413.75,1046605.313,1426150.625,984293.5625
9799_p,PE P-38:4|PE P-16:0_22:4,188065792,159597840,178524080,187442464,142520560,135033984,160311232,200440448,150842528
9800_p,PE O-38:5,6399794,21542992,21987116,10845854,8859959,16538008,20090200,17145616,13151434
9806_p,SM 38:4;O2|SM 15:3;O2/23:1,84220456,76461008,90055136,76433328,70416280,81439552,79738608,96670696,76864472
9810_p,PC 34:4|PC 14:0_20:4,64454024,112560256,123024336,109181168,130079112,89080368,86217120,35898360,83909808
9811_p,PC 34:4,68862608,56751612,54822640,79743248,66169104,83049576,35208200,19366186,42421344
9813_p,PC 34:4,64047308,111647696,121976672,107980632,132589008,89339840,85503776,35569228,80138656
9816_p,PE O-38:4,104208456,181360800,205923120,206584640,161725904,162240224,190539792,169551408,184384240
9818_p,SM 37:3;O2,4472594.5,9722985,10657746,4064441.75,5473235,4578781,6618353,5402834.5,5606636
9819_p,SM 37:3;O2,4472594.5,6280160,6777460.5,4064441.75,5515034,4473146.5,6186210,5081472,6177150.5
9820_p,DG 45:9,9265067,18139362,32897224,22714606,28890132,30337622,16830278,30314752,14343840
9824_p,PC 32:0,16013953,16923624,18696196,22879430,19248300,18507840,17792152,15943224,15408338
9825_p,PC 34:3|PC 16:0_18:3,2046911488,2899121664,3175718656,3048113408,3585715968,2920814848,2761042432,1487167488,2795484672
9826_p,PC 34:3|PC 16:1_18:2,2045304064,2897005568,3171058176,3046722560,3580991232,2916111616,2758281728,1485399296,2792883712
9827_p,PC O-35:3|PC O-17:1_18:2,36017952,46470416,34193684,59989480,55753424,60996640,57389900,35354164,31718148
9828_p,PE P-38:2|PE P-20:0_18:2,13871145,26438506,30290966,33556160,29718928,28613802,34613668,26755400,38665528
9829_p,HexCer 37:2;O3|HexCer 16:1;O2/21:1;O,16321798,26096198,28011912,30629212,27644798,26135058,33745528,25256530,35154448
9830_p,HexCer 38:1;O2|HexCer 18:1;O2/20:0,10359055,17239920,16998406,15659593,13320592,8783452,8606148,9716320,6309745
9840_p,DG 45:8,77744640,96307080,84020104,90303864,119093480,94104280,88884832,53045132,72801912
9842_p,DG 45:8,77781944,96307080,84020104,90303864,119192072,94143048,88884832,53070988,72801912
9843_p,SM 38:2;O2|SM 18:2;O2/20:0,44110532,46510984,47547960,45870760,32006362,29585778,35151580,49605628,26077666
9853_p,PC 34:2|PC 16:0_18:2,143239472,219281952,246492352,261039568,268565344,245206976,277332832,173151136,247446144
9854_p,PC 34:2|PC 16:0_18:2,57896292,98136368,101022136,122945928,92014072,106828920,105236256,78000192,102725632
9855_p,PC 34:2,0,44458.30078,327814.75,1947963.75,250461.5,302462.9375,1002995.5,245331.1406,0
9856_p,PC 34:2,25833910,24613330,30403076,34404048,33424504,31106056,36009648,31719476,35987056
